Genus_species,CAAB,Region,Family,Min.depth,Max Depth,Common name,Primary Ecosystem
Canthigaster rivulata,37467018,West Coast,Tetraodontidae,0,125,Ocellate Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Canthigaster valentini,37467043,North Coast,Tetraodontidae,1,79,Blacksaddle Toby,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Caprichthys gymnura,37466014,South Coast,Aracanidae,1,200,Rigid Boxfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Caprichthys gymnura,37466014,West Coast,Aracanidae,1,200,Rigid Boxfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Caprodon longimanus,37311095,West Coast,Serranidae,10,400,Longfin Perch,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Caracanthus unipinna,37289002,North Coast,Caracanthidae,3,30,Coral Croucher,Coastal (0-40m)
Caragobius rubristriatus,37428074,North Coast,Gobiidae,1,16,Red Eelgoby,"Estuarine
Coastal (0-40m)"
Carangichthys humerosus,37337031,Gascoyne Coast,Carangidae,0,56,Epaulette Trevally,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Carangichthys humerosus,37337031,North Coast,Carangidae,0,56,Epaulette Trevally,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caranx bucculentus,37337016,Gascoyne Coast,Carangidae,3,87,Bluespotted Trevally,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caranx bucculentus,37337016,North Coast,Carangidae,3,87,Bluespotted Trevally,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caranx heberi,37337080,Gascoyne Coast,Carangidae,0,200,[a trevally],"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caranx ignobilis,37337027,Gascoyne Coast,Carangidae,1,188,Giant Trevally,"Coastal (0-40m)
Shelf Demersal (40-200m)
Slope Demersal (200-2000m)
Pelagic, Shelf (0-200m)"
Caranx ignobilis,37337027,North Coast,Carangidae,1,188,Giant Trevally,"Coastal (0-40m)
Shelf Demersal (40-200m)
Slope Demersal (200-2000m)
Pelagic, Shelf (0-200m)"
Caranx lugubris,37337053,North Coast,Carangidae,10,354,Black Trevally,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Caranx melampygus,37337050,North Coast,Carangidae,1,188,Bluefin Trevally,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Caranx papuensis,37337064,Gascoyne Coast,Carangidae,0,100,Brassy Trevally,"Estuarine
Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Caranx papuensis,37337064,North Coast,Carangidae,0,100,Brassy Trevally,"Estuarine
Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Caranx sexfasciatus,37337039,Gascoyne Coast,Carangidae,0,200,Bigeye Trevally,"Estuarine
Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
